vrt_path,name,priority,leaf
decentralized_application_misconfiguration.insecure_data_storage.plaintext_private_key,Plaintext Private Key,1,true
decentralized_application_misconfiguration.insecure_data_storage.sensitive_information_exposure,Sensitive Information Exposure,,true
decentralized_application_misconfiguration.marketplace_security,Marketplace Security,,false
decentralized_application_misconfiguration.marketplace_security.denial_of_service,Denial of Service,,true
decentralized_application_misconfiguration.marketplace_security.improper_validation_and_checks_for_deposits_and_withdrawals,Improper Validation and Checks For Deposits and Withdrawals,,true
decentralized_application_misconfiguration.marketplace_security.malicious_order_offer,Malicious Order Offer,2,true
decentralized_application_misconfiguration.marketplace_security.miscalculated_accounting_logic,Miscalculated Accounting Logic,,true
decentralized_application_misconfiguration.marketplace_security.ofac_bypass,OFAC Bypass,3,true
decentralized_application_misconfiguration.marketplace_security.orderbook_manipulation,Orderbook Manipulation,1,true
decentralized_application_misconfiguration.marketplace_security.price_or_fee_manipulation,Price or Fee Manipulation,2,true
decentralized_application_misconfiguration.marketplace_security.signer_account_takeover,Signer Account Takeover,1,true
decentralized_application_misconfiguration.marketplace_security.unauthorized_asset_transfer,Unauthorized Asset Transfer,1,true
decentralized_application_misconfiguration.protocol_security_misconfiguration,Protocol Security Misconfiguration,,false
decentralized_application_misconfiguration.protocol_security_misconfiguration.node_level_denial_of_service,Node-level Denial of Service,1,true
developer_biases,Developer Biases,,false
developer_biases.implicit_bias,Implicit Bias,,true
external_behavior,External Behavior,,false
external_behavior.browser_feature,Browser Feature,,false
external_behavior.browser_feature.aggressive_offline_caching,Aggressive Offline Caching,5,true
external_behavior.browser_feature.autocomplete_enabled,Autocomplete Enabled,5,true
external_behavior.browser_feature.autocorrect_enabled,Autocorrect Enabled,5,true
external_behavior.browser_feature.plaintext_password_field,Plaintext Password Field,5,true
external_behavior.browser_feature.save_password,Save Password,5,true
external_behavior.captcha_bypass,Captcha Bypass,,false
external_behavior.captcha_bypass.crowdsourcing,Crowdsourcing,5,true
external_behavior.csv_injection,CSV Injection,5,true
external_behavior.system_clipboard_leak,System Clipboard Leak,,false
external_behavior.system_clipboard_leak.shared_links,Shared Links,5,true
external_behavior.user_password_persisted_in_memory,User Password Persisted in Memory,5,true
indicators_of_compromise,Indicators of Compromise,,true
insecure_data_storage,Insecure Data Storage,,false
insecure_data_storage.non_sensitive_application_data_stored_unencrypted,Non-Sensitive Application Data Stored Unencrypted,5,true
insecure_data_storage.screen_caching_enabled,Screen Caching Enabled,5,true
insecure_data_storage.sensitive_application_data_stored_unencrypted,Sensitive Application Data Stored Unencrypted,,false
insecure_data_storage.sensitive_application_data_stored_unencrypted.on_external_storage,On External Storage,4,true
insecure_data_storage.sensitive_application_data_stored_unencrypted.on_internal_storage,On Internal Storage,5,true
insecure_data_storage.server_side_credentials_storage,Server-Side Credentials Storage,,false
insecure_data_storage.server_side_credentials_storage.plaintext,Plaintext,4,true
insecure_data_transport,Insecure Data Transport,,false
insecure_data_transport.cleartext_transmission_of_sensitive_data,Cleartext Transmission of Sensitive Data,,true
insecure_data_transport.executable_download,Executable Download,,false
insecure_data_transport.executable_download.no_secure_integrity_check,No Secure Integrity Check,4,true
insecure_data_transport.executable_download.secure_integrity_check,Secure Integrity Check,5,true
insecure_os_firmware,Insecure OS/Firmware,,false
insecure_os_firmware.command_injection,Command Injection,1,true
insecure_os_firmware.data_not_encrypted_at_rest,Data not encrypted at rest,,false
insecure_os_firmware.data_not_encrypted_at_rest.non_sensitive,Non sensitive,5,true
insecure_os_firmware.data_not_encrypted_at_rest.sensitive,Sensitive,,true
insecure_os_firmware.failure_to_remove_sensitive_artifacts_from_disk,Failure to Remove Sensitive Artifacts from Disk,,true
insecure_os_firmware.hardcoded_password,Hardcoded Password,,false
insecure_os_firmware.hardcoded_password.non_privileged_user,Non-Privileged User,2,true
insecure_os_firmware.hardcoded_password.privileged_user,Privileged User,1,true
insecure_os_firmware.kiosk_escape_or_breakout,Kiosk Escape or Breakout,,true
insecure_os_firmware.local_administrator_on_default_environment,Local Administrator on default environment,2,true
insecure_os_firmware.over_permissioned_credentials_on_storage,Over-Permissioned Credentials on Storage,2,true
insecure_os_firmware.poorly_configured_disk_encryption,Poorly Configured Disk Encryption,,true
insecure_os_firmware.poorly_configured_operating_system_security,Poorly Configured Operating System Security,,true
insecure_os_firmware.recovery_of_disk_contains_sensitive_material,Recovery of Disk Contains Sensitive Material,,true
insecure_os_firmware.shared_credentials_on_storage,Shared Credentials on Storage,3,true
insecure_os_firmware.weakness_in_firmware_updates,Weakness in Firmware Updates,,false
insecure_os_firmware.weakness_in_firmware_updates.firmware_cannot_be_updated,Firmware cannot be updated,,true
insecure_os_firmware.weakness_in_firmware_updates.firmware_does_not_validate_update_integrity,Firmware does not validate update integrity,3,true
insecure_os_firmware.weakness_in_firmware_updates.firmware_is_not_encrypted,Firmware is not encrypted,5,true
insufficient_security_configurability,Insufficient Security Configurability,,false
insufficient_security_configurability.lack_of_notification_email,Lack of Notification Email,5,true
insufficient_security_configurability.no_password_policy,No Password Policy,4,true
insufficient_security_configurability.password_policy_bypass,Password Policy Bypass,5,true
insufficient_security_configurability.verification_of_contact_method_not_required,Verification of Contact Method not Required,5,true
insufficient_security_configurability.weak_password_policy,Weak Password Policy,5,true
insufficient_security_configurability.weak_password_reset_implementation,Weak Password Reset Implementation,,false
insufficient_security_configurability.weak_password_reset_implementation.token_has_long_timed_expiry,Token Has Long Timed Expiry,5,true
insufficient_security_configurability.weak_password_reset_implementation.token_is_not_invalidated_after_email_change,Token is Not Invalidated After Email Change,5,true
insufficient_security_configurability.weak_password_reset_implementation.token_is_not_invalidated_after_login,Token is Not Invalidated After Login,5,true
insufficient_security_configurability.weak_password_reset_implementation.token_is_not_invalidated_after_new_token_is_requested,Token is Not Invalidated After New Token is Requested,5,true
insufficient_security_configurability.weak_password_reset_implementation.token_is_not_invalidated_after_password_change,Token is Not Invalidated After Password Change,5,true
insufficient_security_configurability.weak_password_reset_implementation.token_is_not_invalidated_after_use,Token is Not Invalidated After Use,4,true
insufficient_security_configurability.weak_registration_implementation,Weak Registration Implementation,,false
insufficient_security_configurability.weak_registration_implementation.allows_disposable_email_addresses,Allows Disposable Email Addresses,5,true
insufficient_security_configurability.weak_two_fa_implementation,Weak 2FA Implementation,,false
insufficient_security_configurability.weak_two_fa_implementation.missing_failsafe,Missing Failsafe,5,true
insufficient_security_configurability.weak_two_fa_implementation.old_two_fa_code_is_not_invalidated_after_new_code_is_generated,Old 2FA Code is Not Invalidated After New Code is Generated,5,true
insufficient_security_configurability.weak_two_fa_implementation.two_fa_code_is_not_updated_after_new_code_is_requested,2FA Code is Not Updated After New Code is Requested,5,true
insufficient_security_configurability.weak_two_fa_implementation.two_fa_secret_cannot_be_rotated,2FA Secret Cannot be Rotated,4,true
insufficient_security_configurability.weak_two_fa_implementation.two_fa_secret_remains_obtainable_after_two_fa_is_enabled,2FA Secret Remains Obtainable After 2FA is Enabled,4,true
insufficient_security_configurability.no_two_fa_implementation,No 2FA Implementation,5,true
insufficient_security_configurability.no_account_lockout,No Account Lockout,5,true
insufficient_security_configurability.weak_jwt_hashing_algorithm,Weak JSON Web Token (JWT) Hashing Algorithm,5,true
lack_of_binary_hardening,Lack of Binary Hardening,,false
lack_of_binary_hardening.lack_of_exploit_mitigations,Lack of Exploit Mitigations,5,true
lack_of_binary_hardening.lack_of_jailbreak_detection,Lack of Jailbreak Detection,5,true
lack_of_binary_hardening.lack_of_obfuscation,Lack of Obfuscation,5,true
lack_of_binary_hardening.runtime_instrumentation_based,Runtime Instrumentation-Based,5,true
misinterpretation_biases,Misinterpretation Biases,,false
misinterpretation_biases.context_ignorance,Context Ignorance,,true
mobile_security_misconfiguration,Mobile Security Misconfiguration,,false
mobile_security_misconfiguration.auto_backup_allowed_by_default,Auto Backup Allowed by Default,5,true
mobile_security_misconfiguration.clipboard_enabled,Clipboard Enabled,5,true
mobile_security_misconfiguration.ssl_certificate_pinning,SSL Certificate Pinning,,false
mobile_security_misconfiguration.ssl_certificate_pinning.absent,Absent,5,true
mobile_security_misconfiguration.ssl_certificate_pinning.defeatable,Defeatable,5,true
mobile_security_misconfiguration.tapjacking,Tapjacking,5,true
network_security_misconfiguration,Network Security Misconfiguration,,false
network_security_misconfiguration.telnet_enabled,Telnet Enabled,5,true
physical_security_issues,Physical Security Issues,,false
physical_security_issues.bypass_of_physical_access_control,Bypass of physical access control,,true
physical_security_issues.weakness_in_physical_access_control,Weakness in physical access control,,false
physical_security_issues.weakness_in_physical_access_control.cloneable_key,Cloneable Key,,true
physical_security_issues.weakness_in_physical_access_control.commonly_keyed_system,Commonly Keyed System,2,true
physical_security_issues.weakness_in_physical_access_control.master_key_identification,Master Key Identification,,true
privacy_concerns,Privacy Concerns,,false
privacy_concerns.unnecessary_data_collection,Unnecessary Data Collection,,false
privacy_concerns.unnecessary_data_collection.wifi_ssid_password,WiFi SSID+Password,4,true
protocol_specific_misconfiguration,Protocol Specific Misconfiguration,,false
protocol_specific_misconfiguration.frontrunning_enabled_attack,Frontrunning-Enabled Attack,2,true
protocol_specific_misconfiguration.improper_validation_and_finalization_logic,Improper Validation and Finalization Logic,,true
protocol_specific_misconfiguration.misconfigured_staking_logic,Misconfigured Staking Logic,,true
protocol_specific_misconfiguration.sandwich_enabled_attack,Sandwich-Enabled Attack,2,true
sensitive_data_exposure,Sensitive Data Exposure,,false
sensitive_data_exposure.disclosure_of_known_public_information,Disclosure of Known Public Information,5,true
sensitive_data_exposure.disclosure_of_secrets,Disclosure of Secrets,,false
sensitive_data_exposure.disclosure_of_secrets.data_traffic_spam,Data/Traffic Spam,5,true
sensitive_data_exposure.disclosure_of_secrets.for_internal_asset,For Internal Asset,3,true
sensitive_data_exposure.disclosure_of_secrets.for_publicly_accessible_asset,For Publicly Accessible Asset,1,true
sensitive_data_exposure.disclosure_of_secrets.intentionally_public_sample_or_invalid,"Intentionally Public, Sample or Invalid",5,true
sensitive_data_exposure.disclosure_of_secrets.non_corporate_user,Non-Corporate User,5,true
